Charles River Pollution Control District,WW
FY,Usage (KWh),Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY 07,"4735200","712299",0.1500,,,,,,,
FY 08,"4845000","581400",0.1200,"-109800",,,,,,
FY 09,"4300800","516096",0.1200,"434400",,,,,,
FY 10,"4626600","555192",0.1200,"108600",,,,,,
FY 11,"4875000","585000",0.1200,"-139800",,"692062.00","621867.613",,,
FY 12,"4775400","564459",0.119,"-40200","147840","802090.392","632333.622",,,
FY 13,"4510200","546461",0.122,"225000","165838","1786975.056","1344074.249",,,
FY 14,"4770000","561341",0.119,"-34800","150958","1779571.936","1338505.988",,,
FY 15,"4833000","551854",0.117,"-97800","160445","1585893.448","1192830.610",,,
FY 16,"3346800","394412",0.12,"1388400","317887","1930180.240","1469427.538",,,

Upper Blackstone Water Pollution Abatement District,WW
FY,Usage (KWh), Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY 07,"16230,200","2035000",0.125,,,,,,,
FY 08,"17035,638","2161701",0.127,"-805438","-126701",,,,,
FY 09,"16411,385","2043268",0.125,"-181185","-8268",,,,,
FY 10,"17206,500","1754113",0.102,"-976300","280887",,,,,
FY 11,"16596,309","1789434",0.108,"-366109","245566",,,,,
FY 12,"17627,574","1939033",0.110,"-1397374","95967",,,,,
FY 13,"16564,273","2269305",0.137,"-334073","-234305","357956.512","269237.183",,,
FY 14,"16573,211","2469408",0.149,"-343011","-434408","429914.472","323360.401",,,
FY 15,"16854,780","3303537",0.196,"-624580","-1268537","404876.864","304528.351",,,
FY 16,"13842,763","2851609",0.206,"2387437","-816609","455983.264","227991.632",,,

Lowell,WWs
FY,Usage (KWh), Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY09,"7514,690","980607",0.13,,,,,,,
FY10,"8215,766","1023922",0.125,"-701076","-43315",,,,,
FY11,"8774,926","1070557",0.122,"-1260236","-46635",,,,,
FY12,"9422,723","1156782",0.123,"-1908033","-86225","15338.00","12091.821",,,
FY13,"8828,958","1107027",0.125,"-1314268","49755","33836.70","25450.292",,,
FY14,"8937,034","1075308",0.12,"-1422344","31719","25851.16","19443.964",,,
FY15,"8890,072","1107458",0.125,"-1375382","-32150","20553.80","15459.552",,,
FY16,"8456,016","31000",0.004,"-941326",,"21173.48","16119.165",,,
